year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2015,19,PRINCE OF PENZANCE (NZ),5,53.0,Darren Weir,Ms Michelle Payne,1,Good,3200,8,11,"[121.56801986843345, 119.323833664773, 119.46968739697701, 122.80096677404848, 121.80336750709309]",101.0,1
2015,8,MAX DYNAMITE (FR),7,55.0,William Mullins,Frankie Dettori,2,Good,3200,12,8,"[119.80667678313247, 119.91511798064637, 122.00951576220581, 119.1479144509885, 119.64731406989283]",13.0,2
2015,2,CRITERION (NZ),6,57.5,David Hayes & Tom Dabernig,Michael Walker,4,Soft,3200,4,9,"[118.48725858379579, 120.67037593342401, 121.16346294150242, 119.60580128213316, 121.25801973204074]",19.0,3
2015,10,TRIP TO PARIS (IRE),7,55.0,Ed Dunlop,Tommy Berry,14,Good,3200,12,11,"[119.21592723542777, 119.32066266113509, 120.05763243105199, 118.26263340588245, 119.49261350482602]",6.0,4
2015,5,BIG ORANGE (GB),7,55.5,Michael Bell,Jamie Spencer,23,Good,3200,7,17,"[121.62859936894927, 122.85444479555464, 119.5557816821583, 118.03983435715607, 118.11174868194715]",61.0,5
2015,24,GUST OF WIND (NZ),6,51.0,John Sargent,Chad Schofield,19,Good,3200,11,10,"[118.70276921273728, 122.12989993285865, 121.01547350179436, 120.72606937886538, 121.75079509883291]",41.0,6
2015,23,EXCESS KNOWLEDGE (GB),4,51.0,Gai Waterhouse,Kerrin McEvoy,24,Good,3200,9,15,"[122.92755811817477, 120.07111887970807, 122.4507414256374, 118.53168738071584, 121.4994617956862]",31.0,7
2015,13,THE OFFER (IRE),5,54.0,Gai Waterhouse,Damien Oliver,13,Good,3200,12,3,"[122.92079758076676, 120.00468871439566, 119.59106056192589, 122.33174374028265, 122.23402348264979]",31.0,8
2015,16,QUEST FOR MORE (IRE),5,53.5,Roger Charlton,Damian Lane,21,Good,3200,5,11,"[119.67573514702387, 122.94685729292007, 122.99630957979565, 121.9312863031906, 118.41761101801505]",81.0,9
2015,4,OUR IVANHOWE (GER),8,56.0,Lee & Anthony Freedman,Ben Melham,22,Good,3200,14,3,"[120.08542479037676, 118.59574090005289, 122.30103700302001, 122.95996936348433, 118.08746082755371]",21.0,10
2015,11,WHO SHOT THEBARMAN (NZ),6,54.5,Chris Waller,Blake Shinn,6,Good,3200,2,13,"[122.74716778084706, 122.46775388587176, 118.36502060363438, 122.96576182870974, 118.5025541015916]",21.0,11
2015,21,SERTORIUS,6,52.5,Jamie Edwards,Craig Newitt,5,Good,3200,4,5,"[119.4674783335997, 121.24832057021847, 121.68099091299365, 118.90725939698459, 118.04719506528944]",101.0,12
2015,3,FAME GAME (JPN),4,57.0,Yoshitada Munakata,Zac Purton,12,Soft,3200,9,12,"[120.1663287281575, 122.2154557080364, 118.66545955127302, 121.25316216990653, 120.24616775467366]",5.0,13
2015,22,THE UNITED STATES (IRE),7,52.5,Robert Hickmott,Joao Moreira,3,Firm,3200,6,12,"[121.32520432456812, 121.93627134625808, 121.45660600097922, 119.53634254246164, 120.87036367062474]",21.0,14
2015,6,HARTNELL (GB),5,55.5,John O’Shea,James McDonald,17,Good,3200,14,13,"[122.63558298921245, 120.56201076950359, 119.48309370944487, 120.95357169819671, 118.98692334537711]",31.0,15
2015,20,BONDI BEACH (IRE),6,52.5,Aidan O’Brien,Brett Prebble,18,Soft,3200,7,14,"[122.48489446848367, 122.88430209017048, 120.3568152663132, 121.18699460206136, 119.41920718078367]",21.0,16
2015,7,HOKKO BRAVE (JPN),4,55.5,Yasutoshi Matsunaga,Craig Williams,20,Good,3200,11,13,"[119.3821489988194, 120.23427672130038, 121.08508374823367, 120.1442245684208, 122.61866271683733]",41.0,17
2015,17,ALMOONQITH (USA),6,53.0,David Hayes & Tom Dabernig,Dwayne Dunn,10,Good,3200,7,13,"[119.51121448868176, 121.7080796834795, 118.2595845832324, 121.583395951145, 121.61311754710812]",17.0,18
2015,18,KINGFISHER (IRE),8,53.0,Aidan O’Brien,Colm O’Donoghue,9,Good,3200,11,9,"[120.14186001271659, 118.58039516192565, 119.77482931357476, 122.16695683021307, 118.57925012951256]",61.0,19
2015,15,PREFERMENT (NZ),6,53.5,Chris Waller,Hugh Bowman,11,Good,3200,7,5,"[120.00637903167917, 119.75359420428936, 118.48642692460865, 121.20600511294214, 121.65827633980089]",9.0,20
2015,14,GRAND MARSHAL (GB),5,53.5,Chris Waller,Jim Cassidy,15,Good,3200,3,12,"[119.77767076528596, 118.72019809003905, 118.62724390340829, 118.69354887363085, 118.13834640017001]",61.0,21
2015,12,SKY HUNTER (GB),7,54.0,Saeed Bin Suroor,William Buick,7,Heavy,3200,5,3,"[119.2340569163533, 122.5195437093193, 119.88608187955067, 119.05218861256003, 118.8240572470227]",31.0,22
2015,1,SNOW SKY (GB),8,58.0,Sir Michael Stoute,Ryan Moore,16,Good,3200,13,17,"[119.98165752458054, 122.38571799822915, 119.14436178775313, 120.63057795944002, 118.72516850857497]",51.0,23
