year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position,margin,penalty
2023,3,WITHOUT A FIGHT (IRE),4,56.5,Anthony & Sam Freedman,Mark Zahra,16,Soft,3200,10,12,"[122.27699125447425, 119.50968410042947, 118.43679821049989, 119.44502682441615, 118.84256027894804]",8.0,1,,1.0kg
2023,6,SOULCOMBE (GB),4,53.5,Chris Waller,Joao Moreira,15,Heavy,3200,8,12,"[121.24560737498342, 121.14935406431398, 118.20930909089294, 121.65173571039024, 122.38041481806366]",9.0,2,0.1L,
2023,22,SERPENTINE (IRE),4,52.5,Gai Waterhouse & Adrian Bott,Jye McNeil,23,Heavy,3200,11,6,"[119.81694316557304, 122.42953824467197, 118.78856179146133, 122.11043357713532, 122.76598964577335]",15.0,3,0.5L,
2023,1,VAUBAN (FR),6,58.0,Willie Mullins,Ryan Moore,3,Good,3200,3,14,"[122.24223895208236, 120.19273637707242, 121.3037955989073, 120.54126014760328, 120.49620953254852]",6.5,4,1.0L,
2023,2,GOLD TRIP (FR),5,57.5,Ciaron Maher & David Eustace,Ben Melham,5,Good,3200,4,18,"[118.06525298063896, 122.1761803230711, 122.60742676893186, 122.03781861702275, 122.56804124682753]",7.0,5,1.2L,
2023,12,ASHRUN (FR),8,54.5,Andreas Wohler,Damien Oliver,8,Good,3200,4,7,"[122.39250349325022, 121.61451642071809, 119.24526720584882, 119.56454111465506, 118.77613668645569]",12.0,6,1.5L,
2023,8,BREAKUP (JPN),7,55.0,Takeshi Matsushita,Tom Marquand,12,Good,3200,11,14,"[120.71429334526879, 120.78929201880074, 121.36625841251558, 118.65612463272595, 118.59914223780541]",18.0,7,2.0L,
2023,9,FUTURE HISTORY (IRE),5,54.0,Ciaron Maher & David Eustace,Jamie Kah,10,Good,3200,13,5,"[118.76785175944501, 121.69460131698999, 122.052938202654, 118.87369667979134, 121.67848035850561]",20.0,8,2.5L,
2023,11,MILITARY MISSION (IRE),6,54.5,Gai Waterhouse & Adrian Bott,Damian Lane,7,Good,3200,3,3,"[120.13810696049796, 122.81737138851983, 119.6975724368955, 122.21010744721613, 118.42646609662376]",22.0,9,3.0L,
2023,15,RIGHT YOU ARE,5,52.0,Ciaron Maher & David Eustace,Michael Dee,18,Good,3200,3,14,"[120.46794049293615, 120.0138699262132, 122.7999299554606, 118.50187945256137, 119.9440184927042]",25.0,10,3.5L,
2023,14,VOW AND DECLARE,6,52.5,Danny O'Brien,James McDonald,14,Good,3200,13,16,"[122.73097517590776, 121.8773805259233, 122.67157549594512, 118.5348675605198, 120.55103621171976]",30.0,11,4.0L,
2023,20,ABSURDE (FR),5,52.0,Willie Mullins,Zac Purton,2,Heavy,3200,4,14,"[118.6236465695235, 122.07763650972312, 120.31588946768238, 122.7786892494609, 122.09602333808107]",35.0,12,4.5L,
2023,7,YOUNG WERTHER (NZ),7,55.5,Danny O'Brien,Blake Shinn,9,Good,3200,8,3,"[122.34394382392172, 120.61865069282847, 121.0545201996705, 121.73746288766009, 121.54888854916315]",40.0,13,5.0L,
2023,10,MAGICAL LAGOON (IRE),6,54.0,Joseph O'Brien,Kerrin McEvoy,11,Soft,3200,2,10,"[120.06758625508122, 120.01027424099566, 118.4140359577012, 121.03695368926998, 122.44950927891801]",45.0,14,5.5L,
2023,18,LASTOTCHKA (FR),6,52.0,Mick Price & Michael Kent Jnr,Luke Currie,20,Good,3200,12,17,"[118.84130563276793, 122.22934763111827, 119.00604808348672, 121.38123949558923, 119.47059663275577]",50.0,15,6.0L,
2023,4,TRUE MARVEL (FR),7,56.0,Anthony & Sam Freedman,Mark Zahra,6,Good,3200,12,12,"[120.61417583759324, 120.45941834676505, 122.66307581385618, 119.30295027246856, 122.69488950964745]",55.0,16,6.5L,
