year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2010,8,AMERICAIN,6,54.5,Alain de Royer Dupre,Gerald Mosse,11,Good,3200,10,13,"[118.94673999868077, 119.54865887498421, 119.45498293185861, 120.29892953953672, 118.76797253355613]",,1
2010,24,MALUCKYDAY,7,51.0,"Michael, Wayne & John Hawkes",Luke Nolen,5,Heavy,3200,11,12,"[122.9610825193789, 118.92886676108073, 119.73069140161115, 119.10103600512835, 122.81868294214341]",,2
2010,3,SO YOU THINK,6,56.0,Bart Cummings,Steven Arnold,2,Good,3200,2,7,"[121.63296439358496, 121.71235493092334, 121.35466106681501, 122.44707425016759, 119.21146443689902]",,3
2010,4,ZIPPING,4,55.5,Robert Hickmott,Nicholas Hall,15,Good,3200,6,11,"[122.5927045434563, 121.2551912016958, 119.50983708528771, 120.25308291498695, 120.39636562141585]",,4
2010,12,HARRIS TWEED,5,54.0,Murray & Bjorn Baker,Brad Rawiller,12,Good,3200,6,14,"[119.83780836452492, 121.56969927080169, 118.70201916871287, 118.9329842951714, 120.56171585472238]",,5
2010,19,HOLBERG,7,53.5,Saeed Bin Suroor,Frankie Dettori,9,Firm,3200,6,3,"[120.01803942498017, 121.25115209679636, 122.013063435558, 120.34261431416755, 119.23877987686762]",,6
2010,13,MANIGHAR,5,54.0,Luca Cumani,Damien Oliver,19,Good,3200,12,6,"[119.33995570143273, 119.8720964536925, 122.22048042530669, 120.9918411890779, 119.33236428966853]",,7
2010,20,PRECEDENCE,5,53.5,Bart Cummings,James Winks,14,Soft,3200,13,9,"[118.72463283093481, 118.65478508387716, 121.1507776618053, 119.05455595003367, 119.95929005998777]",,8
2010,5,ILLUSTRIOUS BLUE,4,55.0,William J Knight,Glen Boss,8,Good,3200,10,9,"[118.22322188679813, 118.76734272064313, 121.09432441230672, 122.60285656994515, 120.43896200579098]",,9
2010,6,MR MEDICI,6,55.0,Peter Ho,Darren Beadman,4,Soft,3200,3,10,"[120.04997025504323, 118.69682524726792, 120.25055432528434, 121.16870108230366, 118.77671443533886]",,10
